GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
100756356,Atp2a3,0,0
100764066,Atp2b1,0,0
100759670,Atp2b2,0,0
100753233,Atp2b3,0,0
100764868,Atp2b4,0,0
100765106,Atp2c1,0,0
100772976,Atp2c2,0,0
100767384,Atp4a,0,0
100750430,Atp4b,0,0
100770431,Atp5f1a,1,0
100763024,Atp5f1b,1,0
100766108,Atp5f1d,0,0
100752739,Atp5mc1,0,0
100772366,Atp5mc2,0,0
100754380,Atp5mc3,0,0
100766302,Atp5me,0,0
103160361,Atp5mf,1,0
100757815,Atp5mg,0,0
100774535,Atp5pb,1,0
100771541,Atp5pd,0,0
100756936,Atp5pf,0,0
100770018,Atp5po,0,0
3979188,ATP6,0,0
100760638,Atp6ap1,0,0
100756648,Atp6v0a1,0,0
100766909,Atp6v0a2,0,0
100769769,Atp6v0a4,0,0
100754687,Atp6v0b,1,0
100772184,Atp6v0c,1,0
100762360,Atp6v0d1,1,0
100758035,Atp6v0d2,0,0
100769759,Atp6v0e1,0,0
100768315,Atp6v1a,1,0
100756094,Atp6v1b1,0,0
100774665,Atp6v1b2,1,0
100773930,Atp6v1c1,1,0
100763093,Atp6v1c2,0,0
100762500,Atp6v1d,0,0
100755187,Atp6v1e1,1,0
100765179,Atp6v1e2,0,0
100752884,Atp6v1f,0,0
100774299,Atp6v1g1,0,0
100765359,Atp6v1g2,0,0
100763970,Atp6v1g3,0,0
100754134,Atp6v1h,0,0
100689242,Atp7a,0,0
100770719,Atp7b,0,0
3979187,ATP8,0,0
100756975,Atp8a1,0,0
100756975,Atp8a1,0,0
100756975,Atp8a1,0,0
100763581,Atp8a2,0,0
100763292,Atp8b1,0,0
100751265,Atp8b2,0,0
100757984,Atp8b3,0,0
100759968,Atp8b4,0,0
100765138,Atp9b,0,0
100770122,Atpaf1,0,0
100754752,Atpaf2,1,0
100774025,Auh,0,0
100768365,Awat2,0,0
100774865,Azin2,0,0
100756438,B3galnt1,0,0
100768564,B3galnt2,0,0
100761765,B3galt1,0,0
100766715,B3galt2,0,0
100751197,B3galt4,0,0
100755714,B3galt5,0,0
100767598,B3galt6,0,0
100750701,B3gat1,0,0
100756696,B3gat2,0,0
100689419,B3gat3,0,0
100759864,B3glct,0,0
100766691,B3gnt2,1,0
100773213,B3gnt3,0,0
100769077,B3gnt4,0,0
100757919,B3gnt5,0,0
100768656,B3gnt6,0,0
100760456,B3gnt7,0,0
103160327,B3gnt8,0,0
103159649,B3gnt9,0,0
100751193,B3gntl1,0,0
100764682,B4galnt1,0,0
100760696,B4galnt2,0,0
100689430,B4galt1,0,0
100689434,B4galt2,0,0
100689346,B4galt3,0,0
100689435,B4galt4,0,0
100689347,B4galt5,0,0
100689438,B4galt6,0,0
100769652,B4galt7,0,0
100762253,B4gat1,0,0
100756252,Baat,0,0
100759730,Bbox1,0,0
100763658,Bcat1,0,0
100752344,Bcat2,0,0
100767789,Bche,0,0
100774234,Bckdha,0,0
100774277,Bckdhb,0,0
100760350,Bco1,0,0
100774947,Bco2,0,0
100774340,Bdh1,0,0
100766065,Bdh2,0,0
100754488,Bhmt,0,0
100754773,Bhmt2,0,0
100751522,Blvra,0,0
100768929,Blvrb,0,0
100757548,Bpgm,0,0
100774047,Bpnt1,0,0
100773468,Bst1,0,0
100755324,Btd,0,0
100761169,C1galt1,0,0
100772227,Ca1,0,0
100772435,Ca12,0,0
100771949,Ca13,0,0
100760677,Ca14,0,0
100774844,Ca2,0,0
100774549,Ca3,0,0
100760390,Ca4,0,0
100755419,Ca5a,0,0
100768750,Ca5b,0,0
100754196,Ca6,0,0
100769849,Ca7,0,0
100765172,Ca8,0,0
100765172,Ca8,0,0
100756257,Ca9,0,0
100689232,Cad,1,1
100767250,Cant1,1,0
100765030,Carnmt1,0,0
100765077,Carns1,0,0
100761418,Cars1,1,1
100765566,Cars2,0,0
100766850,Casd1,0,0
100773774,Cat,0,0
100689021,Cbr3,0,0
100758439,Cbr4,0,0
100762141,Cbs,0,0
100773187,Cd38,0,0
100754972,Cda,0,0
100750801,Cdipt,1,1
100760315,Cdo1,0,0
100761973,Cds1,0,0
100761349,Cds2,0,0
100771549,Cel,0,0
100773070,Cept1,1,0
100763715,Cerk,0,0
100765511,Cers1,0,0
100765986,Cers2,0,0
100770521,Cers3,0,0
100758196,Cers4,0,0
100774213,Cers5,0,0
100689038,Cert1,1,0
100756666,Ces2,0,0
100754506,Cftr,0,0
100762824,Ch25h,0,0
100756785,Chat,0,0
100689019,Chcr1,0,0
100689020,Chcr2,0,0
100772204,Chdh,0,0
100750633,Chia,0,0
100750757,Chit1,0,0
100767436,Chka,0,0
100767436,Chka,0,0
100770695,Chkb,0,0
100765856,Chpf,0,0
100760284,Chpf2,0,0
100750762,Chpt1,0,0
100774066,Chst1,0,0
100771304,Chst11,0,0
100762689,Chst12,0,0
100771243,Chst13,0,0
100753239,Chst14,0,0
100767419,Chst2,0,0
100758880,Chst3,0,0
100759418,Chst4,0,0
100770004,Chst6,0,0
103163077,Chst7,0,0
100770803,Chsy1,0,0
100767985,Chsy3,0,0
100774847,Ckb,0,0
100754895,Ckm,0,0
100754659,Ckmt1b,0,0
100752172,Ckmt2,0,0
100760027,Clps,0,0
100772257,Cltrn,0,0
100767276,Clybl,0,0
100689391,Cmah,0,0
100773134,Cmas,1,0
100758717,Cmpk1,0,1
100754791,Cmpk2,0,0
100761203,Cndp1,0,0
100760626,Cndp2,0,0
100753220,Cnp,0,0
100757898,Coasy,1,0
100774081,Colgalt1,0,0
100764465,Colgalt2,0,0
100770626,Comt,0,0
100762102,Comtd1,0,0
100755903,Coq2,1,0
100763494,Coq3,1,0
100750776,Coq5,1,0
100751162,Coq6,1,0
100762279,Coq7,1,0
3979185,COX1,0,0
3979186,COX2,0,0
3979189,COX3,0,0
100753849,Cp,0,0
100772187,Cpox,1,0
100760467,Cps1,0,0
100762166,Cpt1a,0,0
100762166,Cpt1a,0,0
100770034,Cpt1b,0,0
100767138,Cpt1c,0,0
100766757,Cpt2,0,0
100762198,Crat,0,0
100750995,Crot,0,0
100759830,Crppa,0,0
100763866,Cryl1,0,0
100750580,Cs,1,0
100751520,Csad,1,0
100751520,Csad,1,0
100754969,Csgalnact1,1,0
100770830,Csgalnact2,1,0
100752127,Cth,0,0
100689101,Ctps1,1,0
100758964,Ctps2,0,0
100758964,Ctps2,0,0
100772055,Ctsa,0,0
100689034,Cyp2a17,0,0
100689034,Cyp2a17,0,0
100689275,Cyp7a1,0,0
3979182,CYTB,0,0
100773592,D2hgdh,0,0
100767387,Dad1,1,0
100689280,Dao,0,0
100767438,Dars1,1,1
100774650,Dars2,1,0
100761411,Dbh,0,0
100761641,Dbi,0,0
100759055,Dcakd,0,0
100751299,Dck,0,0
100764118,Dct,0,0
100751791,Dctd,0,0
100769832,Dctpp1,0,0
100769825,Dcxr,0,0
100767722,Ddah1,0,0
100761676,Ddah2,0,0
100761742,Ddc,0,0
100773572,Ddo,0,0
100755259,Ddost,1,0
100753128,Decr1,0,0
100759323,Decr2,0,0
100753569,Degs1,0,0
100771298,Degs2,0,0
100750675,Dera,0,0
100755985,Dgat1,0,0
100774981,Dgat2,0,0
100769779,Dgka,0,0
100753343,Dgkb,0,0
100771821,Dgkd,0,0
100765113,Dgke,0,0
100757224,Dgkg,0,0
100769284,Dgkh,0,0
100770430,Dgki,0,0
100755575,Dgkk,0,0
100771387,Dgkq,0,0
100751991,Dgkz,0,0
100769222,Dguok,0,0
100769920,Dhcr24,0,0
100771700,Dhcr7,1,1
100767025,Dhdds,1,0
100753544,Dhdh,0,0
100689028,Dhfr,1,0
100756632,Dhodh,1,1
100755665,Dhps,1,0
100756186,Dhrs3,0,0
100771741,Dhrs9,0,0
100753689,Dhtkd1,0,0
100765192,Dio1,0,0
100774757,Dio2,0,0
100753739,Dio3,0,0
100773493,Dlat,1,0
100689437,Dld,1,0
100758466,Dlst,0,0
100768179,Dmac2l,1,0
100759503,Dmgdh,0,0
100762713,Dnmt1,1,0
100771064,Dnmt3a,0,0
100756461,Dnph1,0,0
100768385,Dolk,1,0
100761712,Dolpp1,0,0
100771005,Dot1l,0,0
100689054,Dpagt1,1,0
100762968,Dpep1,0,0
100689420,Dpm1,0,0
100689294,Dpm2,0,0
100689451,Dpm3,0,0
100765169,Dpyd,0,0
100765169,Dpyd,0,0
100765169,Dpyd,0,0
100752636,Dpys,0,0
100755252,Dtymk,1,1
100774391,Duox1,0,0
100764526,Duox2,0,0
100770939,Dusp11,0,0
100761578,Dut,1,0
100765390,Ears2,1,0
100765639,Ebp,1,1
100768055,Ech1,0,0
100754654,Echs1,0,0
100774222,Eci1,0,0
100763456,Eci2,0,0
